id,room,education,nationality,occupation,cause,hometown,record
5092,6,30,1,99,03080400,331000,150
7026,3,70,1,9,06015300,330483,137
1827,4,20,1,99,03041100,500101,37
6965,2,30,1,99,05010300,320922,30
5664,1,28,1,3,03041100,321084,107
3750,3,50,1,3,03041100,310000,246
6628,9,70,1,99,06010100,371322,145
6596,2,60,1,99,03041100,310119,134
2554,5,60,1,99,05010300,310104,202
6072,3,40,1,99,06015300,420983,85
6792,4,20,1,99,06090500,130523,47
7055,0,70,1,9,03070200,330300,65
5131,0,20,11,2,05010300,210200,12
7446,15,30,1,9,06090500,511822,89
6736,6,70,5,9,05010200,652927,199
6734,7,79,1,9,06015200,330283,218
6737,8,70,1,9,06012500,140311,100
3626,11,60,1,9,05010300,360500,205
7117,6,30,1,99,05010300,513723,24
6991,15,30,1,3,05010300,342923,30
6328,3,20,1,99,06060704,460027,40
7340,12,79,1,9,06090105,410725,76
7312,12,79,1,99,06090105,152726,206
7202,8,70,1,3,03070200,445221,9
3949,0,30,1,9,03041100,350600,247
6613,0,48,1,99,06090500,450000,167
5357,1,80,1,99,05010300,350900,98
2039,1,21,1,6,05010300,513030,87
5142,6,70,1,99,05010300,513822,176
6597,9,69,1,99,06090500,429004,204
6966,5,30,1,3,05010300,430522,30
6488,11,79,1,9,06090105,511700,0
6319,8,20,1,99,05010300,330781,198
7365,12,90,1,99,05010200,612425,111
3055,5,70,1,6,03041100,330226,86
6702,10,79,1,99,06010100,411722,99
6931,8,30,1,99,03041100,412828,235
7541,15,40,1,9,03070200,440900,158
7244,12,79,1,99,06080303,341400,241
7273,4,70,1,99,05010300,320800,160
5775,5,30,1,99,03050100,421100,179
5663,2,31,1,99,06012400,110113,13
7477,15,69,1,9,06090105,371425,78
2945,3,69,1,9,03080600,522624,175
5801,1,70,1,99,06080303,512002,115
5574,11,70,8,9,05010300,452229,180
6453,6,80,1,99,03041100,360425,43
7384,15,62,1,99,03070200,330300,60
6489,2,20,1,99,03041100,140100,134
7128,4,30,1,99,05010300,510800,24
6327,8,41,1,99,06060704,460100,40
6451,9,70,1,9,06090300,360700,83
6689,0,20,1,6,06015300,371081,224
7345,12,30,8,2,05010300,452623,146
6437,9,79,1,9,06090105,411423,187
7228,0,79,1,99,05010200,341300,159
2635,10,30,1,99,05010300,430600,118
6930,1,60,1,9,03041100,310105,235
6948,2,40,1,9,06012500,320600,95
5646,9,31,1,3,03041100,321283,188
5408,6,41,1,99,03070200,320300,75
6484,7,30,1,99,03041100,350783,134
1275,10,10,1,99,06021000,420000,214
5141,9,70,1,99,06021401,810000,177
7529,15,20,1,3,06014800,321081,249
6097,11,70,1,99,06090105,410825,215
5211,0,69,1,3,05010300,330822,14
6587,2,30,1,99,05010200,370200,173
7181,2,70,1,9,05010300,420607,196
7486,13,69,1,3,05010300,440800,24
6889,3,80,1,99,05010200,341521,62
7382,12,20,1,99,03070200,330302,60
5563,11,70,1,9,05010300,500226,42
6553,5,60,1,99,06015200,220581,184
7536,15,70,1,9,06090105,500225,186
3749,7,79,1,3,03041100,310112,61
4609,0,30,1,99,03050100,331082,220
2942,2,41,1,9,05010300,310113,27
3663,11,60,1,8,03041100,321100,225
7269,14,30,15,99,06090105,430802,51
5779,2,20,1,3,05010200,310109,50
2740,11,30,1,99,05010300,430581,2
6427,4,30,15,6,06090300,430726,229
4090,4,70,1,3,05010300,341500,109
4568,5,20,1,99,05010300,330700,96
3748,6,79,1,9,03041100,341182,69
5635,1,70,1,9,03070200,320381,142
7126,3,40,1,99,03020000,310108,135
5458,9,70,1,99,05010300,232722,64
6971,1,30,1,3,05010300,210681,30
6390,9,30,11,9,05010200,211000,193
4689,11,89,1,99,05010300,360300,168
3329,2,70,1,9,03050100,131181,239
4274,2,79,1,3,05010300,411528,192
6498,7,71,1,9,06090105,210502,174
6824,5,70,1,99,05010300,320800,17
6932,3,20,1,8,03041100,441900,235
4513,7,30,1,9,05010300,310120,93
7016,5,71,1,99,06015300,320900,137
7540,13,69,1,99,06090105,511381,1
7342,12,70,1,9,05010300,411081,238
7042,1,20,1,3,03021201,342601,161
7224,0,10,1,9,03041100,330225,194
6648,7,30,1,99,03070200,450000,213
6297,8,79,1,99,05010300,341621,23
6487,8,30,1,99,03041100,321084,134
7141,5,79,1,99,06090500,520300,19
6491,0,30,1,99,03041100,310107,134
7015,2,70,1,9,06015300,230406,137
7040,1,60,1,9,03020901,330782,200
7154,4,60,1,9,03041100,430524,55
