id,room,education,nationality,occupation,cause,hometown,record
12771,16,50,1,99,05010300,410000,3
12782,16,70,1,99,05010300,410000,158
12784,15,80,1,99,05010300,510000,158
12785,15,60,1,99,05010300,410000,158
12786,16,70,1,99,06050800,340000,3
12805,16,70,1,99,05010200,310000,159
12812,16,70,1,99,05010200,340000,161
12816,16,60,1,99,05010300,340000,162
12817,16,80,1,99,05010300,350000,160
12864,16,21,1,99,05010200,141034,163
12875,16,70,1,99,06080302,330329,164
12876,16,31,15,99,06014504,422801,165
12880,16,21,1,99,03070200,310103,166
12883,16,80,1,99,05010200,340421,167
